# cmd: ../.venv/bin/python exp004_prod.py diracA0.0800 24 24 15.0 1 0 6
# caps: tree <= 1.5 GB, disk >= 8.0 GB, free swap >= 512.0 MB
# t_s  nproc  MEM_GB  CMPRS_GB  TREE_GB  disk_free_GB  swap_free_MB
     0.4     1   0.022    0.000   0.022        20.47       1083.4
     5.7     8   0.402    0.000   0.402        20.46       1083.4
    11.0     8   0.417    0.000   0.417        20.45       1083.4
    16.4     8   0.426    0.000   0.426        20.42       1083.4
    21.7     8   0.428    0.000   0.428        20.50       1083.4
    27.0     8   0.434    0.000   0.434        20.50       1083.4
    32.4     8   0.446    0.000   0.446        20.49       1083.4
    37.7     8   0.461    0.000   0.461        20.48       1083.4
    43.0     8   0.475    0.000   0.475        20.47       1083.4
    48.3     8   0.482    0.000   0.482        20.46       1083.4
    53.7     8   0.486    0.000   0.486        20.45       1083.4
    59.0     8   0.499    0.000   0.499        20.43       1083.4
    64.4     8   0.502    0.000   0.502        20.42       1083.4
    69.7     8   0.512    0.000   0.512        20.41       1083.4
    75.1     8   0.516    0.000   0.516        20.39       1083.4
    80.5     8   0.529    0.000   0.529        20.46       1099.4
    85.8     8   0.529    0.000   0.529        20.37       1099.4
    91.2     8   0.530    0.000   0.530        20.38       1099.4
    96.6     8   0.530    0.000   0.530        20.37       1099.4
   102.0     8   0.534    0.000   0.534        20.37       1099.4
   107.3     8   0.551    0.000   0.551        20.37       1099.4
   112.7     8   0.551    0.000   0.551        20.37       1099.4
   118.0     8   0.552    0.000   0.552        20.35       1099.4
   123.3     8   0.557    0.000   0.557        20.36       1099.4
   128.7     8   0.558    0.000   0.558        20.35       1099.4
   134.0     8   0.565    0.000   0.565        20.34       1099.4
   139.3     8   0.565    0.000   0.565        20.33       1099.4
   144.7     8   0.577    0.000   0.577        20.30       1099.4
   150.0     8   0.579    0.000   0.579        20.30       1099.4
   155.3     8   0.581    0.000   0.581        20.28       1099.4
   160.7     8   0.581    0.000   0.581        20.27       1099.4
   166.0     8   0.599    0.000   0.599        20.27       1099.4
   171.3     8   0.597    0.000   0.597        20.37       1099.4
   176.7     8   0.597    0.000   0.597        20.35       1099.4
   182.0     8   0.599    0.000   0.599        20.34       1099.4
   187.4     8   0.601    0.000   0.601        20.33       1099.4
   192.7     8   0.601    0.000   0.601        20.32       1099.4
   198.0     8   0.601    0.000   0.601        20.30       1099.4
   203.3     8   0.607    0.000   0.607        20.28       1099.4
   208.7     8   0.607    0.000   0.607        20.28       1099.4
   214.0     8   0.607    0.000   0.607        20.27       1099.4
   220.1     8   0.611    0.000   0.611        20.24       1099.4
   225.9     8   0.616    0.080   0.696        20.25       1099.4
   231.6     8   0.620    0.236   0.856        20.24       1099.4
   237.6     8   0.624    0.333   0.957        20.22       1099.4
   243.3     8   0.627    0.215   0.842        20.22       1099.4
   249.1     8   0.631    0.169   0.800        20.22       1099.4
   255.0     8   0.631    0.129   0.760        20.22       1099.4
   260.8     8   0.639    0.128   0.767        20.22       1099.4
   266.6     8   0.640    0.117   0.756        20.22       1099.4
   272.5     8   0.640    0.116   0.755        20.22       1099.4
   278.2     8   0.646    0.164   0.810        20.22       1099.4
   284.0     8   0.646    0.163   0.809        20.22       1099.4
   289.7     8   0.646    0.195   0.841        20.23       1099.4
   295.4     8   0.656    0.192   0.848        20.23       1099.4
   301.2     8   0.654    0.189   0.843        20.23       1099.4
   306.9     8   0.658    0.184   0.842        20.23       1099.4
   312.6     8   0.658    0.184   0.842        20.22       1099.4
   318.4     8   0.661    0.184   0.845        20.22       1099.4
   324.2     8   0.661    0.183   0.844        20.22       1099.4
   330.0     8   0.661    0.183   0.844        20.22       1099.4
   335.9     8   0.661    0.183   0.844        20.22       1099.4
   341.8     8   0.670    0.183   0.853        20.22       1099.4
   347.5     8   0.671    0.182   0.853        20.22       1099.4
   353.3     8   0.671    0.182   0.853        20.22       1099.4
   358.9     8   0.670    0.175   0.845        20.22       1099.4
   364.5     8   0.670    0.175   0.845        20.22       1099.4
   370.2     8   0.679    0.175   0.854        20.22       1099.4
   375.8     8   0.679    0.172   0.851        20.22       1099.4
   381.4     8   0.680    0.172   0.852        20.22       1099.4
   386.9     8   0.680    0.172   0.852        20.22       1099.4
   392.5     8   0.680    0.172   0.852        20.22       1099.4
   398.1     8   0.681    0.172   0.853        20.22       1099.4
   403.7     8   0.681    0.172   0.853        20.22       1099.4
   409.3     8   0.681    0.172   0.853        20.22       1099.4
   414.9     8   0.681    0.172   0.853        20.22       1099.4
   420.5     8   0.682    0.172   0.854        20.22       1099.4
   426.1     8   0.682    0.172   0.854        20.22       1099.4
   431.7     8   0.682    0.172   0.854        20.22       1099.4
   437.3     8   0.682    0.172   0.854        20.22       1099.4
   442.9     8   0.676    0.172   0.848        20.22       1099.4
   448.5     8   0.675    0.172   0.847        20.22       1099.4
   454.1     8   0.675    0.172   0.847        20.22       1099.4
   459.7     8   0.675    0.172   0.847        20.22       1099.4
   465.2     8   0.675    0.172   0.847        20.22       1099.4
   470.8     8   0.675    0.172   0.847        20.22       1099.4
   476.3     8   0.675    0.172   0.847        20.22       1099.4
   481.7     8   0.672    0.171   0.843        20.23       1099.4
   487.0     8   0.672    0.171   0.843        20.23       1099.4
   492.4     8   0.672    0.171   0.843        20.23       1099.4
