# cmd: ../.venv/bin/python exp004_prod.py diracA0.0200 24 24 15.0 1 0 6
# caps: tree <= 1.5 GB, disk >= 8.0 GB, free swap >= 512.0 MB
# t_s  nproc  MEM_GB  CMPRS_GB  TREE_GB  disk_free_GB  swap_free_MB
     0.4     1   0.021    0.000   0.021        19.26       1273.8
     5.8     8   0.400    0.000   0.400        19.25       1297.8
    11.2     8   0.413    0.000   0.413        19.25       1297.8
    16.5     8   0.424    0.000   0.424        19.26       1297.8
    22.0     8   0.424    0.000   0.424        19.26       1329.8
    27.4     8   0.425    0.000   0.425        19.26       1337.8
    32.9     8   0.430    0.000   0.430        19.25       1457.9
    38.3     8   0.443    0.000   0.443        19.26       1457.9
    43.7     8   0.450    0.000   0.450        19.26       1457.9
    49.0     8   0.461    0.000   0.461        19.26       1505.9
    54.4     8   0.475    0.000   0.475        19.26       1505.9
    59.8     8   0.482    0.000   0.482        19.26       1505.9
    65.1     8   0.484    0.000   0.484        19.26       1505.9
    70.5     8   0.496    0.000   0.496        19.26       1505.9
    75.8     8   0.499    0.000   0.499        19.26       1505.9
    81.1     8   0.505    0.000   0.505        19.26       1505.9
    86.5     8   0.512    0.000   0.512        19.26       1505.9
    91.8     8   0.520    0.000   0.520        19.26       1505.9
    97.2     8   0.522    0.000   0.522        19.26       1505.9
   102.6     8   0.529    0.000   0.529        19.26       1505.9
   108.1     8   0.528    0.000   0.528        19.25       1505.9
   113.5     8   0.528    0.000   0.528        19.25       1505.9
   118.9     8   0.531    0.000   0.531        19.25       1505.9
   124.3     8   0.532    0.000   0.532        19.25       1505.9
   129.6     8   0.547    0.000   0.547        19.25       1505.9
   134.9     8   0.552    0.000   0.552        19.25       1505.9
   140.3     8   0.553    0.000   0.553        19.25       1505.9
   145.6     8   0.554    0.000   0.554        19.25       1505.9
   150.9     8   0.567    0.000   0.567        19.25       1505.9
   156.3     8   0.578    0.000   0.578        19.25       1505.9
   161.6     8   0.580    0.000   0.580        19.25       1505.9
   167.0     8   0.585    0.000   0.585        19.25       1505.9
   172.4     8   0.584    0.000   0.584        19.25       1505.9
   177.7     8   0.593    0.000   0.593        19.25       1505.9
   183.2     8   0.606    0.000   0.606        19.25       1505.9
   188.7     8   0.607    0.000   0.607        19.25       1505.9
   194.1     8   0.607    0.000   0.607        19.26       1505.9
   199.4     8   0.610    0.000   0.610        19.26       1505.9
   204.8     8   0.613    0.000   0.613        19.26       1505.9
   210.2     8   0.614    0.000   0.614        19.26       1505.9
   215.5     8   0.614    0.000   0.614        19.26       1505.9
   220.9     8   0.615    0.000   0.615        19.26       1505.9
   226.3     8   0.622    0.000   0.622        19.26       1561.9
   231.7     8   0.626    0.000   0.626        19.25       1561.9
   237.1     8   0.631    0.000   0.631        19.25       1561.9
   242.5     8   0.627    0.000   0.627        19.25       1561.9
   247.9     8   0.628    0.000   0.628        19.25       1569.9
   253.3     8   0.629    0.000   0.629        19.25       1569.9
   258.8     8   0.629    0.000   0.629        19.25       1569.9
   264.2     8   0.630    0.000   0.630        19.25       1569.9
   269.6     8   0.626    0.000   0.626        19.25       1569.9
   275.0     8   0.620    0.000   0.620        19.25       1569.9
   280.4     8   0.628    0.000   0.628        19.25       1569.9
   285.8     8   0.627    0.000   0.627        19.25       1569.9
   291.2     8   0.626    0.000   0.626        19.26       1569.9
   296.5     8   0.626    0.000   0.626        19.26       1569.9
   301.9     8   0.626    0.000   0.626        19.26       1569.9
   307.3     8   0.630    0.000   0.630        19.26       1569.9
   312.9     8   0.631    0.000   0.631        19.26       1569.9
   318.3     8   0.632    0.000   0.632        19.26       1569.9
   323.7     8   0.644    0.000   0.644        19.26       1569.9
   329.0     8   0.644    0.000   0.644        19.26       1569.9
   334.4     8   0.644    0.000   0.644        19.26       1569.9
   339.7     8   0.644    0.000   0.644        19.26       1569.9
   345.1     8   0.644    0.000   0.644        19.26       1569.9
   350.5     8   0.651    0.000   0.651        19.25       1569.9
   355.9     8   0.640    0.000   0.640        19.25       1569.9
   361.3     8   0.640    0.000   0.640        19.25       1569.9
   366.7     8   0.655    0.029   0.684        19.25       1569.9
   372.2     8   0.656    0.029   0.685        19.25       1569.9
   377.6     8   0.656    0.034   0.690        19.25       1569.9
   383.0     8   0.658    0.033   0.692        19.25       1569.9
   388.3     8   0.658    0.033   0.692        19.25       1577.9
   393.7     8   0.658    0.033   0.692        19.25       1577.9
   399.0     8   0.658    0.033   0.692        19.25       1577.9
