# cmd: ../.venv/bin/python exp004_prod.py diracA0.0200 24 24 15.0 1 0 6
# caps: tree <= 1.5 GB, disk >= 8.0 GB, free swap >= 512.0 MB
# t_s  nproc  MEM_GB  CMPRS_GB  TREE_GB  disk_free_GB  swap_free_MB
   404.5     8   0.659    0.033   0.693        19.25       1577.9
   409.9     8   0.659    0.033   0.693        19.25       1577.9
   415.3     8   0.659    0.033   0.693        19.25       1577.9
   420.6     8   0.659    0.033   0.693        19.25       1577.9
   426.0     8   0.660    0.033   0.694        19.25       1577.9
   431.3     8   0.660    0.033   0.694        19.25       1577.9
   436.7     8   0.660    0.033   0.694        19.25       1577.9
   442.0     8   0.660    0.033   0.694        19.25       1577.9
   447.4     8   0.660    0.033   0.694        19.25       1577.9
   452.9     8   0.660    0.036   0.697        19.24       1577.9
   458.2     8   0.660    0.036   0.697        19.25       1657.9
   463.7     8   0.660    0.038   0.698        19.25       1673.9
   469.1     8   0.664    0.053   0.718        19.25       1689.9
   474.5     8   0.664    0.053   0.718        19.24       1689.9
   479.8     8   0.665    0.130   0.795        19.24       1689.9
   485.3     8   0.664    0.131   0.796        19.24       1697.9
   490.6     8   0.664    0.131   0.796        19.24       1697.9
   495.9     8   0.664    0.131   0.796        19.24       1705.9
   501.2     8   0.664    0.131   0.796        19.24       1705.9
   506.5     8   0.664    0.131   0.796        19.24       1705.9
   511.8     8   0.664    0.131   0.796        19.24       1705.9
# exit 0; wall 517 s; PEAK tree MEM 0.664 GB + CMPRS 0.131 GB = 0.796 GB
