# cmd: ../.venv/bin/python exp004_prod.py diracA0.0400 24 24 15.0 1 0 6
# caps: tree <= 1.5 GB, disk >= 8.0 GB, free swap >= 512.0 MB
# t_s  nproc  MEM_GB  CMPRS_GB  TREE_GB  disk_free_GB  swap_free_MB
     0.5     1   0.022    0.000   0.022        19.23       1713.9
     6.1     8   0.400    0.000   0.400        19.23       1713.9
    11.7     8   0.414    0.000   0.414        19.32       1713.9
    17.3     8   0.422    0.000   0.422        19.21       1713.9
    22.9     8   0.424    0.000   0.424        19.21       1713.9
    28.5     8   0.424    0.085   0.510        19.21       1713.9
    34.2     8   0.429    0.063   0.493        19.21       1713.9
    39.9     8   0.432    0.063   0.496        19.21       1721.9
    45.5     8   0.445    0.063   0.508        19.21       1721.9
    51.2     8   0.452    0.063   0.515        19.21       1721.9
    56.8     8   0.465    0.063   0.528        19.21       1721.9
    62.4     8   0.476    0.063   0.539        19.21       1721.9
    68.1     8   0.477    0.063   0.540        19.21       1721.9
    73.7     8   0.481    0.063   0.544        19.21       1721.9
    79.4     8   0.482    0.063   0.545        19.21       1721.9
    85.0     8   0.495    0.063   0.558        19.21       1721.9
    90.8     8   0.500    0.063   0.562        19.21       1721.9
    96.6     8   0.502    0.063   0.565        19.21       1721.9
   102.3     8   0.502    0.063   0.565        19.21       1721.9
   107.7     8   0.514    0.063   0.577        19.23       1721.9
   113.4     8   0.522    0.063   0.585        19.23       1729.9
   118.9     8   0.522    0.063   0.585        19.23       1729.9
   124.7     8   0.529    0.063   0.591        19.23       1729.9
   130.3     8   0.527    0.063   0.589        19.23       1729.9
   135.9     8   0.527    0.063   0.589        19.23       1729.9
   141.4     8   0.527    0.063   0.589        19.22       1729.9
   146.9     8   0.530    0.063   0.592        19.22       1729.9
   152.4     8   0.531    0.063   0.593        19.22       1729.9
   157.7     8   0.545    0.063   0.608        19.23       1729.9
   163.1     8   0.545    0.063   0.608        19.22       1729.9
   168.5     8   0.551    0.063   0.614        19.23       1729.9
   173.9     8   0.550    0.063   0.613        19.23       1729.9
   179.3     8   0.549    0.062   0.612        19.23       1729.9
   184.7     8   0.551    0.062   0.614        19.23       1729.9
   190.1     8   0.561    0.062   0.624        19.23       1729.9
   195.5     8   0.570    0.062   0.632        19.23       1729.9
   200.8     8   0.573    0.062   0.635        19.23       1729.9
   206.2     8   0.574    0.062   0.636        19.23       1729.9
   211.6     8   0.573    0.062   0.635        19.23       1729.9
