# cmd: ../.venv/bin/python exp004_prod.py diracA0.0400 24 24 15.0 1 0 6
# caps: tree <= 1.5 GB, disk >= 8.0 GB, free swap >= 512.0 MB
# t_s  nproc  MEM_GB  CMPRS_GB  TREE_GB  disk_free_GB  swap_free_MB
   217.1     8   0.582    0.062   0.644        19.23       1729.9
   222.5     8   0.592    0.062   0.655        19.23       1729.9
   227.9     8   0.592    0.062   0.655        19.23       1729.9
   233.3     8   0.592    0.062   0.655        19.22       1729.9
   238.7     8   0.592    0.062   0.655        19.23       1729.9
   244.1     8   0.593    0.062   0.656        19.23       1729.9
   249.5     8   0.596    0.062   0.659        19.23       1729.9
   254.9     8   0.595    0.062   0.658        19.23       1729.9
   260.3     8   0.606    0.062   0.668        19.23       1729.9
   266.0     8   0.610    0.062   0.672        19.23       1729.9
   271.6     8   0.611    0.062   0.673        19.23       1729.9
   277.1     8   0.604    0.062   0.666        19.23       1729.9
   282.6     8   0.606    0.062   0.668        19.23       1729.9
   288.1     8   0.606    0.062   0.668        19.23       1729.9
   293.6     8   0.611    0.062   0.673        19.23       1729.9
   299.1     8   0.612    0.062   0.674        19.23       1729.9
   304.6     8   0.613    0.062   0.675        19.21       1729.9
   310.1     8   0.613    0.062   0.675        19.23       1729.9
   315.5     8   0.613    0.062   0.675        19.23       1729.9
   321.0     8   0.614    0.062   0.676        19.23       1729.9
   326.3     8   0.622    0.062   0.685        19.23       1729.9
   331.7     8   0.622    0.062   0.685        19.23       1729.9
   337.1     8   0.631    0.062   0.694        19.23       1729.9
   342.5     8   0.631    0.062   0.694        19.23       1729.9
   348.0     8   0.635    0.062   0.697        19.23       1729.9
   353.5     8   0.635    0.062   0.697        19.23       1729.9
   358.9     8   0.638    0.062   0.700        19.23       1729.9
   364.3     8   0.642    0.062   0.704        19.23       1729.9
   369.8     8   0.643    0.062   0.705        19.22       1729.9
   375.2     8   0.643    0.062   0.705        19.23       1729.9
   380.6     8   0.646    0.062   0.708        19.23       1729.9
   386.0     8   0.646    0.062   0.708        19.23       1729.9
   391.4     8   0.646    0.062   0.708        19.23       1729.9
   396.7     8   0.645    0.062   0.707        19.23       1729.9
   402.1     8   0.654    0.062   0.716        19.23       1729.9
   407.5     8   0.654    0.062   0.716        19.23       1729.9
   412.8     8   0.654    0.062   0.716        19.23       1729.9
   418.2     8   0.663    0.062   0.725        19.23       1729.9
   423.5     8   0.664    0.062   0.727        19.23       1729.9
   428.9     8   0.664    0.062   0.727        19.22       1737.9
   434.3     8   0.664    0.062   0.727        19.23       1737.9
   439.6     8   0.665    0.062   0.728        19.23       1737.9
   445.0     8   0.665    0.062   0.728        19.23       1737.9
   450.3     8   0.665    0.062   0.728        19.23       1737.9
   455.7     8   0.665    0.062   0.728        19.23       1737.9
   461.0     8   0.665    0.062   0.728        19.23       1737.9
   466.4     8   0.664    0.062   0.727        19.23       1737.9
   471.7     8   0.665    0.062   0.728        19.23       1737.9
   477.0     8   0.665    0.062   0.728        19.23       1737.9
   482.3     8   0.663    0.062   0.726        19.23       1737.9
   487.7     8   0.663    0.062   0.726        19.22       1737.9
   493.0     8   0.663    0.062   0.726        19.23       1737.9
   498.4     8   0.663    0.062   0.726        19.23       1737.9
   503.7     8   0.663    0.062   0.726        19.23       1737.9
   509.0     8   0.663    0.062   0.726        19.23       1737.9
   514.3     8   0.663    0.062   0.726        19.23       1737.9
   519.6     8   0.663    0.062   0.726        19.23       1737.9
   525.0     8   0.663    0.062   0.726        19.23       1737.9
   530.3     8   0.663    0.062   0.726        19.23       1737.9
   535.6     8   0.654    0.062   0.716        19.23       1737.9
   540.9     8   0.654    0.062   0.716        19.23       1737.9
   546.1     8   0.654    0.062   0.716        19.23       1737.9
# exit 0; wall 551 s; PEAK tree MEM 0.665 GB + CMPRS 0.062 GB = 0.728 GB
